N,Triton,PyTorch
1024.000000,1.505882,1.536000
2048.000000,2.507755,2.457600
4096.000000,4.800000,4.818823
8192.000000,9.416092,9.562646
16384.000000,17.126133,17.308566
32768.000000,30.915639,32.023454
65536.000000,54.311601,55.076124
131072.000000,104.578724,106.281777
262144.000000,202.688661,204.813330
524288.000000,387.404909,388.385452
1048576.000000,711.703147,709.316012
2097152.000000,1103.812616,1146.036922
4194304.000000,1553.493934,1572.863925
8388608.000000,1797.590969,1796.323920
16777216.000000,2126.434788,2099.382542
33554432.000000,2906.047174,2826.092407
67108864.000000,3185.622981,3224.656515
134217728.000000,2677.282202,2657.051021
